Date,DailyRevenue,TotalOrders,TotalCustomers,TotalProductsSold,AvgOrderValue
2010-12-01,35310.51,117,94,17983,19.2218345127926
2010-12-02,37622.61,129,94,20148,19.7286890403776
2010-12-03,22052.02,56,50,10038,21.0019238095238
2010-12-05,28674.45,87,75,14011,11.2360697492163
2010-12-06,25956.32,93,81,13492,13.9325389157273
2010-12-07,23708.17,68,64,10591,22.4296783349101
2010-12-08,34302.19,106,95,18015,18.4024624463519
2010-12-09,29980.92,95,88,12977,17.625467372134
2010-12-10,27072.04,71,53,13250,20.4163197586727
2010-12-12,16749.33,42,41,8632,12.1990750182083
2010-12-13,24700.46,63,58,12840,20.2462786885246
2010-12-14,26155.51,78,71,14890,16.8963242894057
2010-12-15,25483.12,67,64,12907,20.9565131578947
2010-12-16,33411.09,108,97,19464,21.2538740458015
2010-12-17,15597.6,52,49,6566,23.28
2010-12-19,6295.85,18,17,3131,13.5979481641469
2010-12-20,17194.77,49,40,8619,21.628641509434
2010-12-21,11052.84,25,22,5505,30.1167302452316
2010-12-22,4268.78,13,12,2413,20.3275238095238
2010-12-23,5349.96,17,15,3163,16.4109202453988
2011-01-04,11432.69,35,34,6061,16.0346283309958
2011-01-05,22142.87,46,43,13138,22.231797188755
2011-01-06,29025.06,44,44,16334,24.0871867219917
2011-01-07,19082.43,46,45,11421,18.7450196463654
2011-01-09,13956.77,48,48,7506,13.2795147478592
2011-01-10,13440.42,32,31,7612,18.2366621438263
2011-01-11,17251.96,48,44,9484,21.6189974937343
2011-01-12,15219.82,42,42,7570,17.7387179487179
2011-01-13,12984.2,37,37,7222,18.5223965763195
2011-01-14,23420.55,38,37,12186,31.8213994565217
2011-01-16,5940.86,24,21,3179,9.96788590604027
2011-01-17,15078.18,45,44,7822,16.1263957219251
2011-01-18,8886.92,28,27,4973,17.8452208835341
2011-01-19,15322.36,33,33,9894,16.9870953436807
2011-01-20,13692.2,33,29,6563,20.6518853695324
2011-01-21,22216.91,33,31,11172,33.7643009118541
2011-01-23,9553.96,27,27,4563,11.5385990338164
2011-01-24,16425.5,43,42,8648,22.347619047619
2011-01-25,22179.01,58,56,12084,19.7146755555556
2011-01-26,15068.04,52,48,8065,15.8277731092437
2011-01-27,21047.83,50,50,10518,16.7311844197138
2011-01-28,15060.49,36,35,6810,24.3697249190939
2011-01-30,6428.46,23,22,3306,9.31660869565218
2011-01-31,16694.29,54,47,10018,17.2997823834197
2011-02-01,24717.14,57,56,13459,20.8056734006734
2011-02-02,16179.09,55,54,8491,17.0845723336853
2011-02-03,15618.53,43,42,7349,19.1873832923833
2011-02-04,14109.35,45,41,6676,20.3304755043228
2011-02-06,3290.11,11,11,1582,12.4155094339623
2011-02-07,11613.2,35,33,6064,12.6093376764387
2011-02-08,12150.96,36,35,7012,20.4906576728499
2011-02-09,11429,23,22,5941,26.7032710280374
2011-02-10,11275.53,39,38,5946,18.0120287539936
2011-02-11,14331.15,36,33,6445,27.8816147859922
2011-02-13,5447.45,20,20,2570,9.24864176570458
2011-02-14,15843.9,35,35,7967,23.6476119402985
2011-02-15,28961.9,52,46,12218,29.2840242669363
2011-02-16,21086.65,58,52,10789,21.6051741803279
2011-02-17,16474.77,53,48,10504,16.0260408560311
2011-02-18,13355.67,34,33,7720,22.9873838209983
2011-02-20,9138.94,26,26,4536,11.2687299630086
2011-02-21,22809.43,31,30,13319,25.7152536640361
2011-02-22,24004.41,48,45,14284,21.6450946798918
2011-02-23,16818.44,48,45,9181,17.9684188034188
2011-02-24,20122.97,53,52,10318,18.6496478220575
2011-02-25,15931.51,43,40,9060,20.014459798995
2011-02-27,9086.07,32,31,4650,11.6937837837838
2011-02-28,14043.89,50,48,7739,14.9721641791045
2011-03-01,20919.81,54,52,10797,19.6799717779868
2011-03-02,15062.03,39,38,7344,17.657713950762
2011-03-03,23088.1,46,45,10708,27.2265330188679
2011-03-04,14138.62,44,37,8577,16.7320946745562
2011-03-06,9612.8,26,24,4798,11.9562189054726
2011-03-07,14562.53,55,48,7381,13.8822974261201
2011-03-08,21285.36,43,40,11888,18.3811398963731
2011-03-09,17014.27,50,46,9036,17.3615
2011-03-10,18962.37,48,43,10817,21.8209090909091
2011-03-11,14254.98,42,37,7132,23.1036952998379
2011-03-13,3919.93,16,16,2465,7.76223762376238
2011-03-14,20512.24,46,39,10541,19.8762015503876
2011-03-15,13589.87,41,40,7345,16.4925606796117
2011-03-16,18859.54,46,42,9728,23.3699380421314
2011-03-17,17829.95,54,49,10007,18.046508097166
2011-03-18,18576.08,51,48,9250,19.1308753861998
2011-03-20,18027.41,57,56,9647,15.5946453287197
2011-03-21,14939.45,47,46,8758,15.627039748954
2011-03-22,16955.75,40,40,10184,14.3571126164268
2011-03-23,18104.04,58,54,10589,18.5302354145343
2011-03-24,21338.71,65,60,12171,14.7468624740843
2011-03-25,17254.7,50,43,9861,18.3170912951168
2011-03-27,9044.76,31,31,4462,12.9210857142857
2011-03-28,17142.09,56,51,10509,13.6481608280255
2011-03-29,27276.92,50,46,15843,27.3315831663327
2011-03-30,25175.79,65,63,13961,21.0676066945607
2011-03-31,22910.04,58,56,12570,23.2825609756098
2011-04-01,18076.31,60,56,10423,16.8308286778399
2011-04-03,6169.78,19,18,3673,9.02014619883041
2011-04-04,19826,50,46,10610,17.2250217202433
2011-04-05,20720.61,43,42,12082,22.7699010989011
2011-04-06,11830.67,36,35,7292,15.2260875160875
2011-04-07,15457.48,61,57,9101,12.4056821829856
2011-04-08,19163.61,63,61,10479,19.2599095477387
2011-04-10,9375,31,30,5281,10.3248898678414
2011-04-11,17995.74,56,52,11459,16.3004891304348
2011-04-12,21776.89,59,53,12855,20.9594706448508
2011-04-13,19657.23,57,52,11813,20.078886618999
2011-04-14,30941.06,81,74,15788,21.6371048951049
2011-04-15,15971.02,41,40,7522,21.5242857142857
2011-04-17,11860.19,41,38,7320,12.863546637744
2011-04-18,18476.76,60,54,9650,13.6864888888889
2011-04-19,16633.27,52,51,10921,14.7066931918656
2011-04-20,20266.56,61,57,10643,23.1353424657534
2011-04-21,24334.84,69,62,13304,18.2831254695718
2011-04-26,18193.55,57,53,10691,15.5367634500427
2011-04-27,18141.78,56,51,10970,18.2329447236181
2011-04-28,19223.21,53,48,11759,19.9825467775468
2011-05-01,6612.7,18,18,3579,15.0288636363636
2011-05-03,17326.39,54,47,8834,18.2767827004219
2011-05-04,24540.98,61,54,13418,22.2493019038985
2011-05-05,22030.51,78,72,12703,18.9103090128755
2011-05-06,27849.48,76,63,14319,21.9287244094488
2011-05-08,16925.98,62,58,9258,11.9197042253521
2011-05-09,19841.27,61,57,10687,19.1888491295938
